;Filename;Count
0;je800110r;8773
1;je900596d;2110
2;je5010214;1866
3;j.jct.2011.10.023;1131
4;acs.jced.5b00934;987
5;je201002j;636
6;je8006875;560
7;je3003805;530
8;je800251v;528
9;je400055v;497
10;j.jct.2008.02.020;484
11;je700339f;484
12;je600573w;415
13;acs.jced.5b00385;405
14;j.fluid.2012.11.013;400
15;je049652j;398
16;je4005323;396
17;je700145e;393
18;j.tca.2015.08.013;385
19;je400122k;380
20;acs.jced.5b00051;374
21;je300405a;372
22;j.jct.2010.08.010;362
23;j.jct.2009.07.006;352
24;j.jct.2012.08.014;351
25;j.jct.2012.11.002;324
26;je049973v;318
27;je400783h;316
28;j.jct.2011.02.008;313
29;je1001413;300
30;j.fluid.2007.04.023;300
31;je301283e;294
32;je034036t;280
33;je800356x;271
34;je049580w;270
35;je0502849;270
36;je060411g;269
37;j.jct.2007.05.007;264
38;s10765-010-0766-0;253
39;je049929f;252
40;j.jct.2005.10.002;240
41;je7004374;232
42;j.fluid.2014.04.018;229
43;j.jct.2011.08.012;226
44;j.fluid.2011.04.022;225
45;je301333b;225
46;je800786k;220
47;je100237h;220
48;j.jct.2013.05.051;216
49;je034134e;214
50;j.jct.2011.08.016;213
51;je025657+;211
52;j.jct.2008.01.006;210
53;s10765-007-0223-x;205
54;je0604378;204
55;je101361u;204
56;j.jct.2009.12.002;202
57;j.fluid.2005.07.009;201
58;je700096m;200
59;je4001697;194
60;acs.jced.5b00662;188
61;j.fluid.2012.09.001;186
62;acs.jced.5b00152;185
63;je100042c;185
64;je900537y;184
65;j.fluid.2006.05.032;182
66;je0500936;182
67;j.jct.2004.10.001;182
68;j.tca.2014.10.002;180
69;j.jct.2007.05.009;180
70;je9010773;180
71;je400274f;180
72;je050001c;179
73;j.jct.2005.09.003;176
74;j.jct.2004.10.011;176
75;j.jct.2007.11.009;176
76;je700343t;176
77;j.jct.2012.09.016;174
78;j.tca.2005.10.007;172
79;j.tca.2006.04.016;171
80;je0340304;168
81;je0499364;168
82;j.jct.2015.10.006;165
83;j.jct.2008.10.010;163
84;je7003758;161
85;j.jct.2010.03.022;160
86;je0342320;160
87;je500512f;159
88;j.jct.2013.05.025;158
89;j.tca.2006.01.013;157
90;j.jct.2015.12.028;154
91;je2008582;154
92;je700261b;150
93;j.jct.2008.12.014;150
94;je060154f;150
95;j.tca.2013.11.010;150
96;j.fluid.2008.03.004;150
97;je050050p;150
98;je7003929;150
99;je4003256;150
100;acs.jced.5b00613;149
101;je050020m;148
102;je8009418;148
103;j.jct.2010.05.002;148
104;j.jct.2006.07.009;147
105;je700406p;147
106;je060283w;145
107;je900227j;144
108;j.tca.2014.03.043;144
109;je034056v;144
110;j.jct.2005.03.016;144
111;je400157s;143
112;s10765-006-0110-x;140
113;je800998u;139
114;j.jct.2012.03.013;136
115;j.jct.2012.07.018;133
116;je0503204;132
117;je050069s;132
118;j.jct.2007.02.009;131
119;je049893r;128
120;je034218n;128
121;j.jct.2014.08.023;126
122;j.jct.2015.05.027;126
123;j.fluid.2005.07.017;123
124;je300148f;123
125;je200682t;122
126;j.jct.2012.09.027;122
127;s10765-008-0535-5;121
128;j.jct.2011.01.014;121
129;je6005778;121
130;je049925a;120
131;je700287u;120
132;je501065g;116
133;s10765-008-0503-0;114
134;s10765-008-0485-y;114
135;je1012235;112
136;je800012v;111
137;je700737c;110
138;j.fluid.2012.02.007;110
