;Filename;Count
0;je800356x;271
1;je060411g;258
2;j.jct.2008.10.010;160
3;j.jct.2010.05.002;148
4;je500512f;81
5;j.jct.2007.04.011;64
6;j.jct.2011.12.010;57
7;j.tca.2006.10.025;56
8;je2013473;41
9;j.jct.2005.03.012;41
10;j.jct.2014.07.023;32
11;j.jct.2011.06.019;32
12;j.jct.2005.10.009;30
13;j.jct.2011.08.012;30
14;j.tca.2009.01.008;30
15;j.fluid.2013.06.041;25
16;j.fluid.2014.03.017;21
17;je060200b;21
18;s10765-009-0607-1;18
19;j.tca.2009.11.011;17
20;je800244q;16
21;je600557n;16
22;j.jct.2013.08.033;16
23;j.jct.2004.12.010;15
24;j.jct.2015.03.019;14
25;j.jct.2012.01.011;12
26;j.fluid.2013.08.007;12
27;j.jct.2012.07.018;12
28;j.fluid.2014.06.024;12
29;je5008444;11
30;je800999s;11
31;je0601513;10
32;j.jct.2007.07.001;9
33;j.jct.2006.10.007;9
34;je100671v;8
35;j.fluid.2013.08.005;8
36;j.jct.2006.11.001;8
37;je800047t;7
38;je800248w;7
39;j.jct.2012.09.027;7
40;j.fluid.2005.03.026;6
41;j.tca.2013.03.017;6
42;je7002836;6
43;je401098b;6
44;j.jct.2012.02.022;6
45;j.tca.2012.02.017;6
46;j.fluid.2008.09.004;6
47;j.jct.2008.10.002;6
48;j.jct.2015.09.012;6
49;j.jct.2014.01.020;6
50;j.jct.2015.09.010;5
51;j.jct.2011.06.010;5
52;j.fluid.2015.05.016;3
53;je9006579;2
