;Filename;Count
0;je201002j;616
1;je600573w;361
2;je800356x;271
3;je060411g;258
4;j.fluid.2012.09.001;186
5;je900537y;184
6;j.jct.2008.10.010;160
7;je500512f;159
8;j.jct.2010.05.002;148
9;j.jct.2009.12.002;110
10;j.jct.2007.02.009;95
11;je700080k;83
12;je050444g;71
13;j.jct.2007.04.011;64
14;j.tca.2006.10.025;64
15;je400178k;60
16;j.jct.2011.12.010;57
17;j.fluid.2015.05.026;57
18;j.jct.2012.09.016;54
19;j.fluid.2014.03.017;54
20;je800999s;44
21;j.fluid.2014.05.029;44
22;je060200b;42
23;j.jct.2005.03.012;41
24;je2013473;41
25;j.jct.2012.01.011;36
26;je060445o;34
27;je800203s;32
28;j.jct.2011.06.019;32
29;j.jct.2014.07.023;32
30;je200673a;30
31;j.tca.2009.01.008;30
32;j.jct.2011.08.012;30
33;j.jct.2005.10.009;30
34;je400157s;27
35;j.fluid.2013.06.041;25
36;j.jct.2012.07.018;24
37;je600557n;24
38;j.tca.2013.10.016;22
39;j.fluid.2011.02.002;22
40;je100610v;21
41;je0603325;21
42;je4004965;20
43;j.fluid.2014.01.029;19
44;s10765-009-0607-1;18
45;je049585t;18
46;je401098b;18
47;j.jct.2012.09.012;18
48;j.jct.2011.12.015;17
49;je400140n;17
50;j.tca.2009.11.011;17
51;je800244q;16
52;j.jct.2013.08.033;16
53;j.fluid.2014.06.024;15
54;j.jct.2004.09.018;15
55;j.jct.2004.12.010;15
56;je900093h;14
57;j.tca.2007.05.014;14
58;j.jct.2015.03.019;14
59;je400159e;13
60;je0601513;13
61;je1004092;12
62;je7002836;12
63;j.fluid.2013.08.007;12
64;j.jct.2013.12.006;12
65;je301353z;12
66;j.tca.2013.03.017;12
67;je5008444;11
68;j.fluid.2013.12.017;11
69;je301301j;10
70;je050092d;9
71;j.jct.2007.07.001;9
72;j.fluid.2005.03.026;9
73;j.jct.2006.10.007;9
74;j.jct.2006.11.001;8
75;j.fluid.2013.08.005;8
76;je100671v;8
77;j.jct.2012.09.027;7
78;j.jct.2011.06.010;7
79;je800047t;7
80;je800248w;7
81;j.jct.2015.09.012;6
82;j.jct.2008.09.002;6
83;j.jct.2014.01.020;6
84;j.jct.2012.02.022;6
85;j.fluid.2008.09.004;6
86;j.tca.2012.02.017;6
87;j.jct.2008.10.002;6
88;je9006579;6
89;j.jct.2015.09.010;5
90;je200038n;4
91;j.tca.2005.11.024;4
92;j.fluid.2015.05.016;3
93;je101144k;3
94;je700546r;3
95;j.jct.2009.10.003;3
96;je1005483;2
97;j.jct.2009.07.005;2
98;j.tca.2014.12.020;2
99;j.jct.2012.02.006;1
100;j.tca.2009.04.012;1
101;j.jct.2009.08.002;1
