;Filename;Count
0;je800110r;8773
1;je5010214;1866
2;j.jct.2011.10.023;1131
3;je8006875;560
4;j.fluid.2012.11.013;400
5;je700145e;393
6;j.jct.2010.08.010;362
7;j.jct.2012.08.014;351
8;j.tca.2015.08.013;324
9;j.jct.2008.02.020;246
10;j.jct.2013.05.051;216
11;j.jct.2011.08.016;213
12;j.jct.2011.02.008;196
13;j.jct.2011.08.012;196
14;j.fluid.2006.05.032;182
15;je049580w;180
16;j.jct.2007.11.009;176
17;j.jct.2010.03.022;160
18;je101361u;153
19;je700261b;150
20;je060154f;150
21;je050020m;148
22;j.jct.2005.03.016;144
23;je7004374;144
24;acs.jced.5b00662;128
25;s10765-008-0503-0;114
26;s10765-008-0485-y;114
27;j.fluid.2012.02.007;110
28;j.jct.2012.05.016;110
29;j.fluid.2008.06.007;110
30;j.jct.2011.04.011;108
31;je900414p;104
32;j.jct.2005.09.003;88
33;j.jct.2004.10.011;88
34;j.jct.2008.12.020;84
35;j.fluid.2006.12.011;78
36;j.fluid.2008.03.004;75
37;j.jct.2005.03.006;69
38;je700188w;68
39;j.jct.2012.07.018;65
40;j.jct.2012.10.002;60
41;je101286a;60
42;j.fluid.2008.06.014;60
43;j.jct.2012.02.001;60
44;j.jct.2012.03.013;56
45;j.jct.2012.12.003;53
46;s10765-006-0053-2;51
47;je100581m;48
48;j.jct.2010.01.003;48
49;je700428f;48
50;je600554h;46
51;j.jct.2011.06.013;46
52;j.jct.2005.05.003;45
53;j.jct.2011.01.014;45
54;j.jct.2005.02.004;45
55;je7006549;42
56;j.jct.2008.04.003;42
57;j.jct.2006.09.014;42
58;j.jct.2008.09.018;42
59;je5009334;40
60;je100577v;40
61;j.fluid.2013.08.007;40
62;je5005752;40
63;j.fluid.2013.11.031;40
64;j.jct.2005.05.020;40
65;je060496l;40
66;j.fluid.2010.08.014;39
67;je200373q;38
68;je5005643;38
69;j.fluid.2011.11.022;38
70;j.jct.2014.01.020;38
71;j.jct.2012.09.026;37
72;j.tca.2011.08.002;37
73;je400529k;36
74;je4004806;35
75;je049663c;33
76;j.jct.2009.06.023;33
77;je6005778;32
78;j.fluid.2014.04.002;32
79;acs.jced.5b00838;32
80;j.jct.2012.11.007;32
81;j.jct.2012.06.031;32
82;je900048r;31
83;j.fluid.2014.06.005;30
84;je100089s;30
85;j.jct.2011.10.027;30
86;je100353j;30
87;je501041r;30
88;j.jct.2012.11.011;30
89;je050416y;28
90;j.jct.2007.10.010;28
91;acs.jced.5b00009;28
92;je401124t;28
93;j.jct.2012.09.027;28
94;je100100n;28
95;acs.jced.5b00789;27
96;je0600808;27
97;j.jct.2007.05.005;27
98;j.jct.2012.01.008;27
99;je050200w;26
100;je900722m;26
101;j.tca.2013.07.012;25
102;j.jct.2014.06.023;25
103;j.tca.2014.03.042;25
104;j.jct.2010.06.011;25
105;j.jct.2012.01.013;25
106;je049776w;25
107;j.jct.2008.01.015;25
108;j.jct.2010.12.009;25
109;j.fluid.2013.06.041;25
110;je901043q;24
111;j.jct.2013.09.024;24
112;je0604378;24
113;j.tca.2013.03.025;24
114;j.fluid.2009.11.030;24
115;j.jct.2008.07.005;24
116;je0497496;23
117;je800244q;23
118;j.tca.2012.01.007;23
119;j.jct.2006.11.003;23
120;j.fluid.2007.09.028;23
121;je5008789;22
122;je800150h;22
123;je3011979;22
124;j.jct.2012.10.008;21
125;je060307z;21
126;je050414d;21
127;j.jct.2012.11.032;21
128;j.jct.2006.03.018;21
129;j.jct.2005.06.011;21
130;je5007604;21
131;je900732r;21
132;j.jct.2004.12.010;21
133;je7002513;21
134;j.jct.2013.09.043;20
135;acs.jced.5b00031;20
136;j.tca.2012.12.008;20
137;je201222n;20
138;j.jct.2013.05.040;20
139;je400917j;20
140;je1013476;20
141;je3013205;20
142;je300799f;20
143;j.jct.2012.10.025;20
144;je060353z;20
145;je300789a;20
146;j.jct.2006.05.006;20
147;je200707b;20
148;j.jct.2004.09.014;20
149;j.fluid.2012.11.039;20
150;j.jct.2013.01.023;20
151;je0504156;20
152;j.tca.2011.05.006;20
153;je401036f;20
154;je500153g;20
155;je050376y;20
156;j.jct.2013.08.007;20
157;je200806n;20
158;s10765-013-1469-0;20
159;je060179e;20
160;je700580g;20
161;je400968v;20
162;je4000394;20
163;je301095j;20
164;je100657n;19
165;je8009418;19
166;je901020a;18
167;je800930v;18
168;s10765-011-1149-x;18
169;j.jct.2012.09.015;18
170;j.jct.2008.09.006;18
171;j.jct.2014.01.030;18
172;je100734t;18
173;j.fluid.2011.10.018;18
174;j.jct.2005.12.005;18
175;j.jct.2007.01.009;18
176;je200600p;18
177;je5000132;18
178;j.fluid.2012.01.023;18
179;acs.jced.5b00537;18
180;je201102x;18
181;je7001804;18
182;je501141e;18
183;je100927m;17
184;j.jct.2013.11.027;17
185;j.fluid.2011.08.020;17
186;j.fluid.2014.05.033;17
187;s10765-008-0542-6;16
188;j.jct.2013.09.017;16
189;j.jct.2006.09.007;16
190;j.jct.2008.01.022;16
191;je201116t;16
192;s10765-007-0259-y;16
193;j.jct.2012.02.036;16
194;je700266n;16
195;j.tca.2012.01.013;16
196;j.jct.2007.09.007;16
197;je8008254;16
198;je700344f;16
199;je100652b;16
200;je400659p;16
201;j.fluid.2008.02.005;15
202;je800571y;15
203;je3011634;15
204;j.jct.2012.02.007;15
205;je700672f;15
206;j.jct.2006.06.005;15
207;je900478c;15
208;j.jct.2006.06.008;15
209;j.jct.2010.09.008;15
210;j.jct.2013.09.039;15
211;j.jct.2015.05.006;15
212;j.jct.2007.02.008;15
213;je0498053;15
214;j.jct.2007.02.002;15
215;j.jct.2004.11.016;15
216;j.jct.2013.08.013;15
217;s10765-012-1373-z;15
218;je900194v;15
219;j.jct.2008.12.003;15
220;je700300y;14
221;j.jct.2011.01.005;14
222;j.jct.2012.08.024;14
223;je060491o;14
224;j.tca.2012.04.002;14
225;j.tca.2012.08.011;14
226;j.tca.2011.07.023;14
227;je200575c;13
228;je0501235;13
229;je049777o;13
230;j.jct.2009.01.008;13
231;je060475r;13
232;je200757a;12
233;je060485s;12
234;j.jct.2011.12.002;12
235;j.jct.2008.06.001;12
236;j.fluid.2011.01.018;12
237;je700281z;12
238;j.jct.2015.06.009;12
239;je9006597;12
240;je050540h;12
241;j.jct.2007.11.002;12
242;j.jct.2013.10.018;12
243;je900468u;12
244;j.jct.2012.05.023;12
245;j.jct.2012.12.007;12
246;j.jct.2004.12.002;12
247;j.jct.2014.08.005;12
248;j.jct.2008.02.005;12
249;j.jct.2013.05.009;12
250;j.jct.2008.05.014;12
251;je400512u;12
252;j.fluid.2014.06.024;12
253;je101358p;12
254;je201009c;12
255;je900733j;12
256;je8009336;12
257;j.jct.2012.05.005;12
258;s10765-008-0390-4;12
259;je5004719;12
260;je0502546;12
261;s10765-009-0667-2;12
262;je100848r;12
263;j.jct.2007.05.016;12
264;j.fluid.2012.08.030;12
265;je900284z;12
266;j.jct.2012.11.015;12
267;j.fluid.2015.05.031;12
268;je900689m;12
269;j.fluid.2013.11.025;12
270;je400539h;12
271;j.jct.2013.04.015;12
272;je060490w;12
273;j.fluid.2014.11.005;12
274;j.fluid.2006.11.005;12
275;j.jct.2007.09.004;12
276;j.jct.2005.10.009;12
277;je7005727;12
278;je900954y;12
279;je200504u;12
280;je0500734;11
281;je800164w;11
282;je300631s;11
283;je900864n;11
284;je200609g;11
285;je700430g;11
286;j.tca.2014.11.028;11
287;je100788g;11
288;je0504212;11
289;j.fluid.2015.03.040;11
290;je8003707;10
291;j.jct.2013.12.022;10
292;j.jct.2011.12.008;10
293;j.jct.2014.06.031;10
294;j.jct.2005.03.027;10
295;je800497u;10
296;j.tca.2014.05.028;10
297;je800594e;10
298;j.jct.2009.04.001;10
299;je100526j;10
300;j.fluid.2013.01.027;10
301;j.jct.2008.12.010;10
302;j.jct.2005.06.015;10
303;je401101u;10
304;je050156k;10
305;j.fluid.2010.03.001;10
306;j.jct.2009.08.016;10
307;j.jct.2008.12.022;10
308;je100484n;10
309;je800940j;10
310;j.jct.2013.12.025;10
311;j.jct.2009.06.016;10
312;je801006q;9
313;je300384g;9
314;je900531b;9
315;je400679k;9
316;je050484k;9
317;je0501639;9
318;je400134d;9
319;je7007654;9
320;je100757w;9
321;je400722h;9
322;j.fluid.2015.06.043;9
323;j.jct.2009.02.002;9
324;je060311a;9
325;j.jct.2007.06.002;9
326;je700140j;9
327;j.jct.2014.10.005;9
328;je800664z;9
329;j.jct.2008.07.010;9
330;je7000182;9
331;j.fluid.2006.02.023;9
