;Filename;Count
0;je5010214;1239
1;j.fluid.2012.11.013;300
2;j.jct.2011.10.023;234
3;j.jct.2010.03.022;160
4;je700261b;150
5;j.jct.2010.08.010;132
6;j.jct.2008.02.020;131
7;j.jct.2013.05.051;108
8;je900414p;104
9;j.jct.2011.08.012;98
10;je049580w;90
11;j.jct.2011.08.016;75
12;j.jct.2005.03.016;72
13;s10765-008-0485-y;59
14;s10765-008-0503-0;59
15;j.jct.2012.07.018;44
16;j.jct.2012.09.026;37
17;j.jct.2012.11.007;32
18;je900048r;31
19;j.jct.2011.01.014;30
20;je600554h;27
21;j.tca.2014.03.042;25
22;j.jct.2013.09.024;24
23;je0497496;23
24;j.jct.2009.06.023;22
25;je800150h;22
26;j.jct.2012.11.032;21
27;j.jct.2013.01.023;20
28;j.jct.2012.10.002;20
29;j.fluid.2013.08.007;20
30;j.jct.2013.08.007;20
31;j.jct.2005.05.020;18
32;j.tca.2013.07.012;17
33;je900722m;17
34;j.tca.2012.01.007;17
35;je100581m;16
36;s10765-012-1373-z;15
37;je201222n;15
38;j.fluid.2008.03.004;15
39;je400968v;15
40;j.jct.2004.11.016;15
41;j.jct.2012.01.013;15
42;je4004806;14
43;acs.jced.5b00009;14
44;j.tca.2011.08.002;13
45;j.fluid.2009.11.030;12
46;je060307z;12
47;j.fluid.2014.11.005;12
48;j.jct.2004.12.002;12
49;je100788g;11
50;j.jct.2012.10.008;11
51;j.tca.2014.11.028;11
52;j.fluid.2007.09.028;11
53;j.jct.2013.11.027;10
54;je100484n;10
55;j.tca.2014.05.028;10
56;je300799f;10
57;je060179e;10
58;j.jct.2010.12.009;10
59;je401036f;10
60;je200707b;10
61;j.jct.2007.02.002;10
62;s10765-013-1469-0;10
63;je700428f;10
64;j.jct.2007.05.005;9
65;j.jct.2014.10.005;9
66;je800930v;9
67;j.jct.2013.12.028;9
68;je0501235;9
69;je0501639;9
70;je200600p;9
71;j.jct.2014.05.019;9
72;je0600808;9
73;j.jct.2013.04.015;9
74;je400679k;9
75;j.fluid.2015.06.043;9
76;je100967k;8
77;je2007204;8
78;j.jct.2015.06.009;8
79;j.tca.2011.05.006;8
80;j.fluid.2014.04.002;8
81;je900715y;8
82;je050389b;8
83;j.jct.2013.06.009;8
84;je400781b;8
85;j.jct.2010.10.018;8
86;je100100n;8
87;je5005752;8
88;j.tca.2012.01.013;8
89;je900535d;8
90;j.jct.2009.01.008;8
91;j.jct.2007.09.007;8
92;je201116t;8
93;j.jct.2013.05.009;8
94;j.jct.2013.05.041;7
95;j.tca.2011.01.019;7
96;j.jct.2012.08.024;7
97;je401124t;7
98;je5007604;7
99;j.tca.2013.08.002;7
100;je049777o;7
101;je200922s;7
102;s10765-010-0737-5;7
103;j.jct.2015.02.011;7
104;je050416y;7
105;j.jct.2004.12.010;7
106;j.jct.2014.03.021;7
107;je100765j;7
108;j.tca.2011.07.023;7
109;je300134c;7
110;je700300y;7
111;j.jct.2011.01.005;7
112;j.jct.2012.04.026;7
113;j.jct.2005.06.011;6
114;s10765-008-0390-4;6
115;je050463q;6
116;j.jct.2006.06.008;6
117;je0498208;6
118;j.tca.2011.07.005;6
119;je501041r;6
120;j.fluid.2014.06.005;6
121;j.fluid.2012.07.032;6
122;je7001804;6
123;j.tca.2011.02.004;6
124;j.jct.2007.02.008;6
125;j.jct.2008.10.002;6
126;j.tca.2012.05.025;6
127;j.jct.2013.01.008;6
128;j.jct.2012.09.015;6
129;je049655w;6
130;j.jct.2005.10.009;6
131;je8008254;6
132;j.fluid.2015.04.021;6
133;j.fluid.2006.11.005;6
134;j.jct.2006.03.018;6
135;j.fluid.2008.09.004;6
136;j.jct.2012.05.033;6
137;je801006q;6
138;je700430g;6
139;acs.jced.5b00317;6
140;je0498053;6
141;je900733j;6
142;je049776w;6
143;j.jct.2008.05.014;6
144;je100821g;6
145;je7002836;6
146;je8003707;5
147;j.jct.2013.11.021;5
148;j.jct.2014.06.031;5
149;j.tca.2009.12.008;5
150;je100610v;5
151;j.jct.2012.02.033;5
152;je700580g;5
153;je9003959;5
154;j.fluid.2007.07.066;5
155;j.tca.2014.06.028;5
156;je301095j;5
157;acs.jced.5b00326;5
158;je1013476;5
159;j.fluid.2014.01.044;5
160;je101173w;5
161;je500389t;5
162;j.jct.2015.10.026;5
163;j.jct.2013.10.013;5
164;je060200b;5
165;j.jct.2011.10.009;5
166;j.jct.2015.08.036;5
167;j.jct.2013.11.015;5
168;je200609g;5
169;je0603325;5
170;j.jct.2009.06.016;5
171;j.jct.2012.03.025;5
172;j.jct.2015.10.001;5
173;je100159m;5
174;je400539h;4
175;je300557g;4
176;je050402s;4
177;j.fluid.2011.06.011;4
178;je200030k;4
179;je0601255;4
180;je3011979;4
181;j.tca.2010.04.025;4
182;j.tca.2013.05.015;4
183;j.jct.2013.09.017;4
184;je9005129;4
185;j.fluid.2010.01.002;4
186;j.fluid.2015.08.005;4
187;j.jct.2013.08.010;4
188;je100848r;4
189;j.jct.2013.05.037;4
190;j.jct.2013.11.002;4
191;j.jct.2006.03.010;4
