;Filename;Count
0;je800110r;8773
1;je900596d;2110
2;je5010214;1866
3;j.jct.2011.10.023;1131
4;je8006875;560
5;je3003805;530
6;j.jct.2008.02.020;484
7;je700339f;484
8;j.fluid.2012.11.013;400
9;je700145e;393
10;j.jct.2010.08.010;362
11;j.jct.2009.07.006;352
12;j.jct.2012.08.014;351
13;j.tca.2015.08.013;324
14;j.jct.2012.11.002;324
15;j.jct.2011.02.008;313
16;je049580w;270
17;je400122k;254
18;je300405a;242
19;j.fluid.2014.04.018;229
20;j.fluid.2011.04.022;225
21;je800786k;220
22;je100237h;220
23;j.jct.2013.05.051;216
24;j.jct.2011.08.016;213
25;je101361u;204
26;je700096m;200
27;j.jct.2011.08.012;196
28;je100042c;185
29;j.fluid.2006.05.032;182
30;j.jct.2004.10.011;176
31;j.jct.2005.09.003;176
32;j.jct.2007.11.009;176
33;je7003758;161
34;j.jct.2010.03.022;160
35;je060154f;150
36;je050050p;150
37;je700261b;150
38;je050020m;148
39;je700406p;147
40;j.jct.2005.03.016;144
41;je7004374;144
42;j.jct.2013.05.025;133
43;acs.jced.5b00662;128
44;j.fluid.2005.07.017;123
45;je700287u;120
46;s10765-008-0485-y;114
47;s10765-008-0503-0;114
48;je1012235;112
49;j.fluid.2008.06.007;110
50;je700737c;110
51;j.jct.2012.05.016;110
52;j.fluid.2012.02.007;110
53;j.jct.2012.07.018;109
54;j.jct.2011.04.011;108
55;je900414p;104
56;je900227j;91
57;j.jct.2008.12.020;84
58;je100581m;82
59;j.fluid.2006.12.011;78
60;j.tca.2013.11.010;75
61;je301333b;75
62;j.fluid.2008.03.004;75
63;j.jct.2011.07.005;70
64;j.jct.2005.03.006;69
65;je700188w;68
66;je0503204;66
67;je050069s;66
68;j.fluid.2014.01.030;64
69;j.jct.2011.01.014;61
70;je100353j;61
71;j.jct.2012.02.001;60
72;j.jct.2011.12.013;60
73;je101286a;60
74;j.fluid.2008.06.014;60
75;j.jct.2012.10.002;60
76;j.jct.2012.11.011;60
77;acs.jced.5b00724;59
78;je700325c;57
79;j.jct.2012.03.013;56
80;je700015t;54
81;j.jct.2012.01.008;54
82;j.jct.2012.12.003;53
83;j.jct.2014.06.023;52
84;s10765-006-0053-2;51
85;je300590v;50
86;je5007604;50
87;j.jct.2010.06.011;50
88;j.jct.2010.01.003;48
89;je700428f;48
90;je5005752;48
91;je900048r;48
92;je100089s;46
93;j.jct.2011.06.013;46
94;je600554h;46
95;j.jct.2005.05.003;45
96;j.tca.2011.08.002;45
97;j.fluid.2008.02.023;45
98;j.jct.2005.02.004;45
99;je301301j;44
100;je400679k;44
101;je060301+;44
102;j.jct.2008.04.003;42
103;je050463q;42
104;j.jct.2011.10.027;42
105;acs.jced.5b00009;42
106;j.jct.2008.09.018;42
107;j.jct.2006.09.014;42
108;je7006549;42
109;je300799f;40
110;j.fluid.2013.11.031;40
111;j.jct.2012.06.031;40
112;j.fluid.2014.04.002;40
113;je060496l;40
114;je5009334;40
115;j.tca.2012.01.013;40
116;j.jct.2005.05.020;40
117;je100577v;40
118;j.fluid.2013.08.007;40
119;j.fluid.2010.08.014;39
120;acs.jced.5b00789;39
121;j.jct.2014.01.020;38
122;acs.jced.5b00838;38
123;je5005643;38
124;j.fluid.2011.11.022;38
125;je200373q;38
126;je3013342;38
127;j.fluid.2012.10.024;38
128;je900284z;37
129;j.jct.2012.09.026;37
