;Filename;Count
0;j.jct.2011.06.008;178
1;j.fluid.2011.07.007;111
2;j.fluid.2014.07.029;92
3;je800091s;20
4;j.jct.2015.02.015;16
5;je060333x;16
6;je900034d;13
7;je0503857;12
8;j.jct.2014.01.016;11
9;j.fluid.2015.03.038;10
10;je0301747;10
11;j.fluid.2012.08.020;10
12;je401026a;9
13;j.jct.2013.08.005;8
14;j.fluid.2012.08.003;8
15;je030236t;8
16;je3012452;7
17;acs.jced.5b00892;7
18;je5009729;7
19;j.fluid.2014.12.023;6
20;je7005852;6
21;je500358r;6
22;je5008795;5
23;j.jct.2011.12.001;5
24;je300152t;5
25;j.jct.2011.05.028;5
26;je500110d;5
27;je900702t;5
28;j.tca.2012.03.018;5
29;j.jct.2007.06.020;5
30;je025634v;5
31;j.tca.2007.10.007;5
32;j.jct.2008.02.004;5
33;j.tca.2009.05.007;4
34;j.jct.2009.03.007;4
35;je4008052;4
36;j.jct.2011.11.004;4
37;j.jct.2009.09.003;4
38;j.jct.2007.10.001;3
39;j.jct.2008.08.004;3
40;j.jct.2008.03.008;3
41;j.jct.2008.11.008;3
42;je025641j;3
43;j.jct.2008.09.012;3
44;j.jct.2014.08.020;3
45;j.jct.2014.03.027;2
46;je800155q;2
47;j.jct.2015.09.005;2
48;je9000872;2
49;je300504f;2
50;j.jct.2014.06.028;2
51;j.jct.2013.06.021;2
52;je101124p;2
53;j.jct.2012.08.034;2
54;j.jct.2009.11.013;2
55;je400498a;2
56;acs.jced.5b00737;2
57;j.jct.2008.02.003;2
58;j.jct.2009.04.017;2
59;j.jct.2008.04.005;2
60;j.fluid.2014.11.026;2
61;je700035m;1
62;j.jct.2015.07.028;1
63;j.jct.2008.09.013;1
64;j.jct.2012.08.028;1
65;acs.jced.5b00606;1
66;j.jct.2008.12.015;1
67;j.jct.2014.04.003;1
68;j.jct.2015.06.002;1
69;j.jct.2009.05.018;1
70;j.jct.2012.10.011;1
71;j.jct.2016.02.008;1
72;j.jct.2007.09.001;1
73;je3003767;1
74;je4007162;1
75;j.jct.2011.07.014;1
76;j.jct.2012.07.008;1
77;j.jct.2010.09.005;1
78;j.jct.2011.12.019;1
79;je050179z;1
80;j.jct.2013.01.009;1
81;j.jct.2014.01.007;1
82;je400212t;1
83;j.jct.2012.09.007;1
84;j.jct.2008.04.010;1
85;je900093h;1
86;j.jct.2009.07.011;1
87;j.jct.2008.06.019;1
88;j.jct.2007.06.015;1
89;j.jct.2012.01.025;1
90;j.jct.2013.08.004;1
