;Filename;Count
0;j.jct.2005.10.002;240
1;je4001697;194
2;je0604378;180
3;s10765-006-0110-x;140
4;je8009418;129
5;je501106d;96
6;j.jct.2008.05.014;95
7;je6005778;89
8;je7004374;88
9;j.jct.2012.09.027;87
10;j.fluid.2008.03.004;75
11;j.tca.2015.08.013;61
12;acs.jced.5b00662;60
13;s10765-006-0079-5;59
14;j.jct.2008.08.003;55
15;je800244q;49
16;je400274f;45
17;j.jct.2011.01.014;45
18;s10765-009-0607-1;43
19;je5009334;39
20;j.jct.2012.03.013;37
21;j.fluid.2014.06.005;30
22;j.jct.2012.10.025;30
23;j.jct.2007.05.005;27
24;j.jct.2008.01.015;25
25;j.fluid.2007.07.016;24
26;je700021f;22
27;je5007604;21
28;je060353z;20
29;je300789a;20
30;acs.jced.5b00031;20
31;je100734t;19
32;j.jct.2012.09.015;18
33;j.jct.2014.01.030;18
34;je901020a;18
35;je7001804;18
36;j.fluid.2007.12.007;18
37;je100652b;16
38;j.jct.2007.02.008;15
39;j.jct.2006.06.008;15
40;s10765-006-0063-0;15
41;j.jct.2012.02.007;15
42;j.jct.2007.02.002;15
43;j.tca.2012.08.011;14
44;j.jct.2013.11.027;14
45;j.tca.2011.07.023;14
46;j.tca.2014.01.027;13
47;j.jct.2007.05.016;13
48;je050540h;12
49;je101358p;12
50;j.jct.2008.02.005;12
51;je7005727;12
52;j.jct.2013.05.009;12
53;j.jct.2011.12.002;12
54;je9006597;12
55;je501141e;12
56;je400512u;12
57;j.jct.2012.12.007;12
58;j.jct.2005.10.009;12
59;j.fluid.2014.06.024;12
60;je200504u;12
61;je900689m;12
62;je700281z;12
63;j.fluid.2014.11.005;12
64;je400539h;12
65;j.jct.2012.05.023;12
66;je5004719;12
67;j.jct.2008.06.001;12
68;j.jct.2013.10.018;12
69;j.jct.2009.01.008;11
70;j.jct.2015.06.009;11
71;j.jct.2012.11.032;11
72;je200609g;11
73;je900468u;11
74;j.jct.2011.09.008;10
75;j.tca.2013.12.021;10
76;j.jct.2008.09.018;10
77;j.jct.2009.08.016;10
78;j.jct.2008.07.010;10
79;j.jct.2008.12.010;10
80;je800594e;10
81;j.jct.2013.08.021;9
82;je7007654;9
83;je400134d;9
84;je300384g;9
85;je700029q;9
86;j.tca.2005.10.008;9
87;je400722h;9
88;j.jct.2009.02.002;9
89;j.fluid.2006.02.023;9
90;j.jct.2006.03.010;8
91;j.jct.2012.02.023;8
92;je100967k;8
93;j.fluid.2007.01.001;8
94;j.jct.2013.04.017;8
95;je300134c;7
96;j.jct.2010.07.014;7
97;j.jct.2015.02.011;7
98;j.jct.2006.03.018;7
99;je5010643;7
100;j.jct.2010.05.016;7
101;je2010209;7
102;j.fluid.2012.08.002;7
103;j.tca.2013.08.002;7
104;je100765j;7
105;j.jct.2005.06.011;7
106;j.fluid.2013.08.029;7
107;s10765-006-0047-0;7
108;j.jct.2014.03.021;7
109;je800981d;6
110;j.jct.2011.09.001;6
111;j.jct.2010.12.016;6
112;j.tca.2011.02.004;6
113;j.jct.2014.06.030;6
114;je0504459;6
115;acs.jced.5b00317;6
116;je900597n;6
117;je0501585;6
118;j.tca.2011.07.005;6
119;j.tca.2011.01.019;6
120;je8009336;6
121;je050110r;6
122;j.jct.2013.09.008;6
123;s10765-013-1526-8;6
124;j.jct.2005.12.005;6
125;je0601098;6
126;je060017i;6
127;je060210c;6
128;j.tca.2013.12.015;5
129;j.fluid.2013.06.021;5
130;j.jct.2013.05.003;5
131;j.tca.2014.06.028;5
132;je901072c;5
133;j.jct.2013.11.015;5
134;j.jct.2009.01.010;5
135;je9010882;5
136;je100610v;5
137;j.jct.2015.06.036;5
138;s10765-009-0593-3;5
139;j.jct.2008.01.008;5
140;je050165t;5
141;s10765-011-0997-8;5
142;je060200b;5
143;j.jct.2013.05.012;5
144;je9003959;5
145;j.fluid.2007.07.066;5
146;j.jct.2013.11.021;5
147;j.tca.2010.03.012;5
148;acs.jced.5b00343;5
149;j.jct.2012.03.025;5
150;j.jct.2005.09.001;4
151;je500594z;4
152;j.tca.2012.10.017;4
153;j.tca.2014.06.026;4
154;j.jct.2013.05.037;4
155;j.jct.2013.10.025;4
156;j.fluid.2011.06.011;4
157;j.tca.2009.03.014;4
158;j.jct.2012.04.020;4
159;j.jct.2011.08.028;4
160;s10765-009-0562-x;4
161;s10765-009-0665-4;4
162;je401120a;4
163;j.jct.2013.04.021;4
164;je060389r;4
165;je9005344;4
166;j.jct.2009.06.006;4
167;je400781b;4
168;je1008262;4
169;j.jct.2012.08.030;4
170;je100594u;4
171;acs.jced.5b00181;4
172;j.tca.2013.05.015;4
173;s10765-008-0399-8;4
174;je900442b;4
175;je049793l;4
176;j.jct.2010.11.007;4
177;je060192z;4
178;j.jct.2006.01.016;4
179;je900237e;4
180;je900274n;4
181;j.jct.2013.08.010;4
182;je049661s;3
183;je8002699;3
184;j.jct.2012.08.026;3
185;j.jct.2012.01.022;3
186;j.jct.2007.04.006;3
187;je700619q;3
188;j.tca.2010.04.025;3
189;j.tca.2011.06.003;3
190;j.jct.2014.12.022;3
191;j.tca.2013.09.006;3
192;j.jct.2007.01.008;3
193;s10765-011-0995-x;3
194;je060228n;3
195;j.jct.2006.10.017;3
196;j.jct.2014.09.011;3
197;s10765-011-1087-7;3
198;j.jct.2007.08.005;3
199;j.jct.2015.03.023;3
200;j.jct.2013.08.016;3
201;j.jct.2012.12.010;3
202;j.jct.2005.08.002;3
203;je060497d;3
204;je050162g;3
205;j.tca.2011.06.020;3
206;je060311a;3
207;je050294+;3
208;je201334p;3
209;j.jct.2009.12.008;3
210;s10765-010-0862-1;3
211;j.jct.2012.08.023;3
212;je800077r;3
213;j.jct.2006.10.004;3
214;j.tca.2008.06.004;3
215;je1012857;3
216;j.jct.2012.11.015;3
217;j.jct.2013.09.005;3
218;je800100m;3
219;s10765-010-0719-7;2
220;j.jct.2006.08.003;2
221;j.jct.2013.08.033;2
222;j.jct.2009.06.001;2
223;j.jct.2006.07.015;2
224;je900481e;2
225;j.jct.2011.01.005;2
226;je700338t;2
227;s10765-010-0874-x;2
228;j.fluid.2014.01.019;2
229;je200468r;2
230;j.tca.2005.08.034;2
231;j.jct.2013.06.020;2
232;j.jct.2012.05.033;2
233;j.jct.2015.03.004;2
234;j.jct.2015.06.029;1
235;j.jct.2011.10.002;1
236;s10765-010-0752-6;1
237;je0500330;1
238;j.jct.2012.07.019;1
239;j.jct.2013.09.015;1
240;j.tca.2009.07.011;1
241;je201152j;1
242;je900732r;1
243;j.tca.2014.06.031;1
244;j.jct.2006.07.013;1
245;je100170v;1
246;je049544x;1
247;je1005196;1
248;j.jct.2009.07.020;1
249;je060126x;1
