;Filename;Count
0;j.jct.2005.10.002;240
1;je4001697;194
2;je0604378;180
3;s10765-006-0110-x;140
4;je300405a;130
5;je8009418;129
6;je400122k;126
7;j.jct.2008.08.003;109
8;j.jct.2008.11.005;100
9;j.fluid.2006.01.027;100
10;je501106d;96
11;j.jct.2008.05.014;95
12;je6005778;89
13;je7004374;88
14;j.jct.2012.09.027;87
15;je400157s;84
16;j.fluid.2008.03.004;75
17;je301333b;75
18;j.tca.2013.11.010;75
19;je300652k;71
20;s10765-009-0610-6;70
21;je0503204;66
22;je050069s;66
23;j.tca.2015.08.013;61
24;acs.jced.5b00662;60
25;j.jct.2011.01.014;60
26;s10765-006-0079-5;59
27;j.jct.2009.12.002;58
28;je900227j;53
29;je5007604;50
30;je800244q;49
31;j.fluid.2014.10.004;48
32;je400274f;45
33;je700021f;44
34;s10765-009-0607-1;43
35;s10765-007-0369-6;43
36;je5009334;39
37;j.jct.2012.03.013;37
38;je900739x;35
39;je300789a;35
40;je100765j;35
41;j.fluid.2014.06.005;30
42;j.jct.2012.10.025;30
43;j.fluid.2007.07.016;30
44;j.jct.2007.05.005;27
45;je900437b;27
46;j.jct.2013.05.025;25
47;j.jct.2008.01.015;25
48;je060353z;24
49;j.jct.2012.09.015;24
50;j.fluid.2007.12.007;24
51;j.jct.2013.01.013;21
52;j.jct.2007.02.008;21
53;j.tca.2012.08.011;21
54;j.tca.2011.07.023;21
55;s10765-009-0593-3;20
56;je400539h;20
57;je4004965;20
58;acs.jced.5b00031;20
59;s10765-009-0562-x;20
60;je100734t;19
61;j.fluid.2014.12.012;18
62;j.jct.2014.01.030;18
63;je7001804;18
64;je901020a;18
65;je100652b;18
66;j.jct.2013.10.018;18
67;j.fluid.2010.01.027;17
68;j.tca.2014.06.031;17
69;je800653d;16
70;j.tca.2014.06.026;16
71;j.jct.2008.05.004;16
72;j.jct.2011.12.002;16
73;j.jct.2012.07.019;16
74;j.jct.2012.07.007;16
75;je9005618;16
76;je060343y;16
77;je900597n;16
78;je100967k;16
79;je5004719;15
80;j.fluid.2014.06.024;15
81;je400408w;15
82;j.jct.2007.02.002;15
83;je050110r;15
84;je9006597;15
85;j.jct.2008.12.010;15
86;j.jct.2006.06.008;15
87;s10765-006-0063-0;15
88;j.jct.2012.02.007;15
89;je900689m;15
90;je800594e;15
91;j.jct.2014.06.030;15
92;je900056u;15
93;s10765-009-0648-5;15
94;j.jct.2014.01.012;14
95;je5010643;14
96;j.jct.2013.11.027;14
97;j.tca.2011.07.005;13
98;j.tca.2014.01.027;13
99;je1008262;13
100;j.jct.2007.05.016;13
101;je200121f;13
102;je501141e;12
103;j.jct.2013.05.009;12
104;j.jct.2012.12.007;12
105;je400134d;12
106;je400512u;12
107;j.jct.2011.05.003;12
108;je200504u;12
109;j.jct.2005.08.002;12
110;je900525f;12
111;j.jct.2005.10.009;12
112;j.jct.2012.05.023;12
113;j.jct.2009.12.008;12
114;j.fluid.2014.11.005;12
115;je700281z;12
116;je900874z;12
117;j.jct.2013.12.006;12
118;je900442b;12
119;je400722h;12
120;je301353z;12
121;j.tca.2011.01.019;12
122;j.jct.2015.09.022;12
123;j.tca.2010.04.025;12
124;j.fluid.2014.01.019;12
125;je101358p;12
126;je7005727;12
127;je050540h;12
128;j.jct.2008.02.005;12
129;je401098b;12
130;s10765-011-0995-x;12
131;je100472t;12
132;j.tca.2011.02.004;12
133;s10765-013-1526-8;12
134;j.jct.2008.06.001;12
135;j.jct.2015.06.009;11
136;j.jct.2012.11.032;11
137;j.jct.2009.01.006;11
138;je200609g;11
139;je900468u;11
140;j.jct.2009.01.008;11
141;acs.jced.5b00343;10
142;j.jct.2006.03.010;10
143;j.jct.2008.09.018;10
144;je100610v;10
145;je9003959;10
146;je050165t;10
147;s10765-008-0399-8;10
148;j.jct.2009.08.016;10
149;j.tca.2013.12.021;10
150;je060200b;10
151;j.jct.2011.09.008;10
152;je049661s;10
153;j.tca.2011.06.020;10
154;j.jct.2013.05.003;10
155;j.jct.2008.07.010;10
156;j.jct.2013.06.020;10
157;s10765-011-1087-7;9
158;je400781b;9
159;je060497d;9
160;je700029q;9
161;je060210c;9
162;je7007654;9
163;j.jct.2009.02.002;9
164;j.jct.2006.04.005;9
165;j.jct.2013.08.021;9
166;j.fluid.2006.02.023;9
167;je300384g;9
168;j.tca.2005.10.008;9
169;j.jct.2006.01.016;9
170;je300542s;8
171;j.jct.2010.11.007;8
172;je0504459;8
173;j.jct.2010.12.016;8
174;je0601098;8
175;j.jct.2013.01.010;8
176;j.jct.2012.02.023;8
177;j.fluid.2007.01.001;8
178;s10765-006-0047-0;8
179;s10765-010-0874-x;8
180;j.jct.2013.04.017;8
181;j.fluid.2014.09.022;8
182;j.tca.2013.05.015;8
183;j.jct.2015.02.011;7
184;j.fluid.2012.08.002;7
185;s10765-010-0752-6;7
186;j.jct.2010.05.016;7
187;je300134c;7
188;j.jct.2005.06.011;7
189;j.jct.2014.03.021;7
190;j.jct.2010.07.014;7
191;j.tca.2013.08.002;7
192;je2010209;7
193;je050413l;7
194;j.jct.2006.03.018;7
195;j.fluid.2013.08.029;7
196;je060017i;6
197;je700619q;6
198;j.jct.2013.10.008;6
199;j.jct.2011.09.001;6
200;j.jct.2005.12.005;6
201;acs.jced.5b00317;6
202;je060192z;6
203;j.jct.2007.05.015;6
204;j.jct.2013.09.008;6
205;je050162g;6
206;je0501585;6
207;j.jct.2007.08.006;6
208;je301167q;6
209;j.fluid.2015.12.007;6
210;je8002699;6
211;je8009336;6
212;j.jct.2007.04.006;6
213;j.jct.2007.01.008;6
214;j.jct.2014.12.022;6
215;je800077r;6
216;je800981d;6
217;j.jct.2012.09.013;6
218;j.fluid.2013.06.021;5
219;j.fluid.2007.07.066;5
220;j.jct.2006.01.009;5
221;j.jct.2008.01.008;5
222;j.jct.2011.10.002;5
223;j.jct.2013.11.015;5
224;je901072c;5
225;je900237e;5
226;j.tca.2013.12.015;5
227;je049793l;5
228;j.fluid.2011.02.010;5
229;j.jct.2013.05.012;5
230;j.jct.2013.09.005;5
231;j.jct.2015.07.002;5
232;s10765-011-0997-8;5
233;j.jct.2013.11.021;5
234;je9010882;5
235;j.jct.2015.06.036;5
236;j.jct.2009.01.010;5
237;je200468r;5
238;j.jct.2005.09.001;5
239;j.jct.2010.12.028;5
240;j.jct.2012.03.025;5
241;je8003723;5
242;je0603325;5
243;j.tca.2014.06.028;5
244;j.tca.2009.03.014;5
245;j.tca.2010.03.012;5
246;j.jct.2009.06.006;5
247;j.jct.2013.05.037;4
248;acs.jced.5b00181;4
249;j.jct.2012.04.020;4
250;je700338t;4
251;je401120a;4
252;j.jct.2006.07.013;4
253;j.jct.2012.08.026;4
254;j.tca.2005.08.034;4
255;j.fluid.2011.06.011;4
256;je050483s;4
257;j.jct.2013.08.010;4
258;j.jct.2013.10.025;4
259;j.jct.2012.11.015;4
260;je800100m;4
261;j.tca.2011.06.003;4
262;j.jct.2009.07.020;4
263;j.jct.2013.09.015;4
264;je100594u;4
265;j.jct.2006.10.004;4
266;je500594z;4
267;j.jct.2012.08.030;4
268;je060311a;4
269;je9005344;4
270;je1005196;4
271;je060389r;4
272;j.jct.2011.08.028;4
273;j.jct.2015.03.004;4
274;j.jct.2013.04.021;4
275;s10765-009-0665-4;4
276;je900274n;4
277;j.tca.2012.10.017;4
278;j.tca.2008.06.004;4
279;j.jct.2007.08.005;4
280;je1012857;4
281;j.jct.2012.01.022;4
282;j.fluid.2005.06.024;4
283;j.jct.2006.10.017;3
284;je100170v;3
285;j.jct.2013.08.016;3
286;je060052p;3
287;j.jct.2014.09.011;3
288;je900481e;3
289;j.jct.2012.09.003;3
290;j.jct.2015.03.023;3
291;je060228n;3
292;j.jct.2011.01.005;3
293;je201334p;3
294;s10765-010-0862-1;3
295;j.tca.2013.02.002;3
296;j.jct.2012.12.010;3
297;je049544x;3
298;j.jct.2012.08.023;3
299;j.jct.2006.07.015;3
300;j.jct.2012.04.024;3
301;je050294+;3
302;j.tca.2013.09.006;3
303;j.jct.2006.08.003;2
304;j.jct.2012.03.034;2
305;j.jct.2013.08.033;2
306;je1005483;2
307;j.jct.2009.06.001;2
308;je8004134;2
309;je060301+;2
310;j.jct.2012.05.033;2
311;s10765-010-0719-7;2
312;je201152j;2
313;je0500330;1
314;je7001946;1
315;je700290j;1
316;je8001877;1
317;j.tca.2010.07.027;1
318;j.jct.2015.06.029;1
319;j.tca.2009.07.011;1
320;je900732r;1
321;je060126x;1
