;filename;components;SMILES;CAS;InChI;Temperature, K;Pressure, kPa;Molar heat capacity at constant pressure, J/K/mol;Molar heat capacity at constant pressure, J/K/mol_std
13254;j.jct.2004.09.018;2,4-dinitrobenzaldehyde;[O-][N+](=O)c1ccc(C=O)c(c1)[N+]([O-])=O;528-75-6;InChIKey=ZILXIZUBLXVYPI-UHFFFAOYSA-N;348.1;101.325;300.285470752;0.900856412256
13255;j.jct.2004.09.018;2,4-dinitrobenzaldehyde;[O-][N+](=O)c1ccc(C=O)c(c1)[N+]([O-])=O;528-75-6;InChIKey=ZILXIZUBLXVYPI-UHFFFAOYSA-N;349.694;101.325;307.078394376;0.921235183128
13256;j.jct.2004.09.018;2,4-dinitrobenzaldehyde;[O-][N+](=O)c1ccc(C=O)c(c1)[N+]([O-])=O;528-75-6;InChIKey=ZILXIZUBLXVYPI-UHFFFAOYSA-N;351.288;101.325;313.480537816;0.940441613448
13257;j.jct.2004.09.018;2,4-dinitrobenzaldehyde;[O-][N+](=O)c1ccc(C=O)c(c1)[N+]([O-])=O;528-75-6;InChIKey=ZILXIZUBLXVYPI-UHFFFAOYSA-N;352.838;101.325;317.479798848;0.952439396544
13258;j.jct.2004.09.018;2,4-dinitrobenzaldehyde;[O-][N+](=O)c1ccc(C=O)c(c1)[N+]([O-])=O;528-75-6;InChIKey=ZILXIZUBLXVYPI-UHFFFAOYSA-N;354.367;101.325;327.473794192;0.982421382576
13259;j.jct.2004.09.018;2,4-dinitrobenzaldehyde;[O-][N+](=O)c1ccc(C=O)c(c1)[N+]([O-])=O;528-75-6;InChIKey=ZILXIZUBLXVYPI-UHFFFAOYSA-N;355.873;101.325;334.275032288;1.00282509686
13260;j.jct.2004.09.018;2,4-dinitrobenzaldehyde;[O-][N+](=O)c1ccc(C=O)c(c1)[N+]([O-])=O;528-75-6;InChIKey=ZILXIZUBLXVYPI-UHFFFAOYSA-N;357.336;101.325;342.26523988;1.02679571964
13261;j.jct.2004.09.018;2,4-dinitrobenzaldehyde;[O-][N+](=O)c1ccc(C=O)c(c1)[N+]([O-])=O;528-75-6;InChIKey=ZILXIZUBLXVYPI-UHFFFAOYSA-N;358.755;101.325;344.269027632;1.0328070829
13262;j.jct.2004.09.018;2,4-dinitrobenzaldehyde;[O-][N+](=O)c1ccc(C=O)c(c1)[N+]([O-])=O;528-75-6;InChIKey=ZILXIZUBLXVYPI-UHFFFAOYSA-N;360.218;101.325;349.066477976;1.04719943393
13263;j.jct.2004.09.018;2,4-dinitrobenzaldehyde;[O-][N+](=O)c1ccc(C=O)c(c1)[N+]([O-])=O;528-75-6;InChIKey=ZILXIZUBLXVYPI-UHFFFAOYSA-N;361.507;101.325;354.263022976;1.06278906893
13264;j.jct.2004.09.018;2,4-dinitrobenzaldehyde;[O-][N+](=O)c1ccc(C=O)c(c1)[N+]([O-])=O;528-75-6;InChIKey=ZILXIZUBLXVYPI-UHFFFAOYSA-N;362.751;101.325;357.863189352;1.07358956806
13265;j.jct.2004.09.018;2,4-dinitrobenzaldehyde;[O-][N+](=O)c1ccc(C=O)c(c1)[N+]([O-])=O;528-75-6;InChIKey=ZILXIZUBLXVYPI-UHFFFAOYSA-N;363.93;101.325;367.865499168;1.1035964975
13266;j.jct.2004.09.018;2,4-dinitrobenzaldehyde;[O-][N+](=O)c1ccc(C=O)c(c1)[N+]([O-])=O;528-75-6;InChIKey=ZILXIZUBLXVYPI-UHFFFAOYSA-N;365.066;101.325;373.86023348;1.12158070044
13267;j.jct.2004.09.018;2,4-dinitrobenzaldehyde;[O-][N+](=O)c1ccc(C=O)c(c1)[N+]([O-])=O;528-75-6;InChIKey=ZILXIZUBLXVYPI-UHFFFAOYSA-N;366.135;101.325;381.060566232;1.1431816987
13268;j.jct.2004.09.018;2,4-dinitrobenzaldehyde;[O-][N+](=O)c1ccc(C=O)c(c1)[N+]([O-])=O;528-75-6;InChIKey=ZILXIZUBLXVYPI-UHFFFAOYSA-N;367.118;101.325;389.857277608;1.16957183282
21097;j.jct.2004.12.010;ethanol;CCO;121182-78-3;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;283.15;101.325;106.53;0.1
21098;j.jct.2004.12.010;ethanol;CCO;121182-78-3;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;288.15;101.325;108.27;0.1
21099;j.jct.2004.12.010;ethanol;CCO;121182-78-3;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;293.15;101.325;110.06;0.1
21100;j.jct.2004.12.010;ethanol;CCO;121182-78-3;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;298.15;101.325;112.03;0.1
21101;j.jct.2004.12.010;ethanol;CCO;121182-78-3;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;303.15;101.325;114.01;0.1
21109;j.jct.2004.12.010;decane;CCCCCCCCCC;63335-87-5;InChIKey=DIOQZVSQGTUSAI-UHFFFAOYSA-N;283.15;101.325;307.14;0.1
21110;j.jct.2004.12.010;decane;CCCCCCCCCC;63335-87-5;InChIKey=DIOQZVSQGTUSAI-UHFFFAOYSA-N;288.15;101.325;309.28;0.1
21111;j.jct.2004.12.010;decane;CCCCCCCCCC;63335-87-5;InChIKey=DIOQZVSQGTUSAI-UHFFFAOYSA-N;293.15;101.325;311.37;0.1
21112;j.jct.2004.12.010;decane;CCCCCCCCCC;63335-87-5;InChIKey=DIOQZVSQGTUSAI-UHFFFAOYSA-N;298.15;101.325;313.58;0.1
21113;j.jct.2004.12.010;decane;CCCCCCCCCC;63335-87-5;InChIKey=DIOQZVSQGTUSAI-UHFFFAOYSA-N;303.15;101.325;315.73;0.1
21121;j.jct.2004.12.010;undecane;CCCCCCCCCCC;61193-21-3;InChIKey=RSJKGSCJYJTIGS-UHFFFAOYSA-N;283.15;101.325;337.29;0.1
21122;j.jct.2004.12.010;undecane;CCCCCCCCCCC;61193-21-3;InChIKey=RSJKGSCJYJTIGS-UHFFFAOYSA-N;288.15;101.325;339.47;0.1
21123;j.jct.2004.12.010;undecane;CCCCCCCCCCC;61193-21-3;InChIKey=RSJKGSCJYJTIGS-UHFFFAOYSA-N;293.15;101.325;341.6;0.1
21124;j.jct.2004.12.010;undecane;CCCCCCCCCCC;61193-21-3;InChIKey=RSJKGSCJYJTIGS-UHFFFAOYSA-N;298.15;101.325;343.98;0.1
21125;j.jct.2004.12.010;undecane;CCCCCCCCCCC;61193-21-3;InChIKey=RSJKGSCJYJTIGS-UHFFFAOYSA-N;303.15;101.325;346.3;0.1
28462;j.jct.2005.03.012;methanol;CO;54841-71-3;InChIKey=OKKJLVBELUTLKV-UHFFFAOYSA-N;273.15;500.0;77.02863144;0.11554294716
28463;j.jct.2005.03.012;methanol;CO;54841-71-3;InChIKey=OKKJLVBELUTLKV-UHFFFAOYSA-N;298.15;500.0;81.3863244;0.1220794866
28464;j.jct.2005.03.012;methanol;CO;54841-71-3;InChIKey=OKKJLVBELUTLKV-UHFFFAOYSA-N;323.15;500.0;86.86548246;0.13029822369
28465;j.jct.2005.03.012;methanol;CO;54841-71-3;InChIKey=OKKJLVBELUTLKV-UHFFFAOYSA-N;348.15;500.0;93.65835678;0.14048753517
28466;j.jct.2005.03.012;methanol;CO;54841-71-3;InChIKey=OKKJLVBELUTLKV-UHFFFAOYSA-N;373.15;500.0;101.82903108;0.15274354662
28468;j.jct.2005.03.012;methanol;CO;54841-71-3;InChIKey=OKKJLVBELUTLKV-UHFFFAOYSA-N;273.15;1000.0;76.99658958;0.11549488437
28469;j.jct.2005.03.012;methanol;CO;54841-71-3;InChIKey=OKKJLVBELUTLKV-UHFFFAOYSA-N;298.15;1000.0;81.35428254;0.12203142381
28470;j.jct.2005.03.012;methanol;CO;54841-71-3;InChIKey=OKKJLVBELUTLKV-UHFFFAOYSA-N;323.15;1000.0;86.80139874;0.13020209811
28471;j.jct.2005.03.012;methanol;CO;54841-71-3;InChIKey=OKKJLVBELUTLKV-UHFFFAOYSA-N;348.15;1000.0;93.59427306;0.14039140959
28472;j.jct.2005.03.012;methanol;CO;54841-71-3;InChIKey=OKKJLVBELUTLKV-UHFFFAOYSA-N;373.15;1000.0;101.76494736;0.15264742104
28473;j.jct.2005.03.012;methanol;CO;54841-71-3;InChIKey=OKKJLVBELUTLKV-UHFFFAOYSA-N;398.15;1000.0;111.85813326;0.16778719989
28475;j.jct.2005.03.012;methanol;CO;54841-71-3;InChIKey=OKKJLVBELUTLKV-UHFFFAOYSA-N;273.15;2500.0;76.93250586;0.11539875879
28476;j.jct.2005.03.012;methanol;CO;54841-71-3;InChIKey=OKKJLVBELUTLKV-UHFFFAOYSA-N;298.15;2500.0;81.19407324;0.12179110986
28477;j.jct.2005.03.012;methanol;CO;54841-71-3;InChIKey=OKKJLVBELUTLKV-UHFFFAOYSA-N;323.15;2500.0;86.64118944;0.12996178416
28478;j.jct.2005.03.012;methanol;CO;54841-71-3;InChIKey=OKKJLVBELUTLKV-UHFFFAOYSA-N;348.15;2500.0;93.43406376;0.14015109564
28479;j.jct.2005.03.012;methanol;CO;54841-71-3;InChIKey=OKKJLVBELUTLKV-UHFFFAOYSA-N;373.15;2500.0;101.4124869;0.15211873035
28480;j.jct.2005.03.012;methanol;CO;54841-71-3;InChIKey=OKKJLVBELUTLKV-UHFFFAOYSA-N;398.15;2500.0;111.28137978;0.16692206967
28483;j.jct.2005.03.012;methanol;CO;54841-71-3;InChIKey=OKKJLVBELUTLKV-UHFFFAOYSA-N;273.15;5000.0;76.83638028;0.11525457042
28484;j.jct.2005.03.012;methanol;CO;54841-71-3;InChIKey=OKKJLVBELUTLKV-UHFFFAOYSA-N;298.15;5000.0;81.0659058;0.1215988587
28485;j.jct.2005.03.012;methanol;CO;54841-71-3;InChIKey=OKKJLVBELUTLKV-UHFFFAOYSA-N;323.15;5000.0;86.44893828;0.12967340742
28486;j.jct.2005.03.012;methanol;CO;54841-71-3;InChIKey=OKKJLVBELUTLKV-UHFFFAOYSA-N;348.15;5000.0;93.17772888;0.13976659332
28487;j.jct.2005.03.012;methanol;CO;54841-71-3;InChIKey=OKKJLVBELUTLKV-UHFFFAOYSA-N;373.15;5000.0;100.99594272;0.15149391408
28488;j.jct.2005.03.012;methanol;CO;54841-71-3;InChIKey=OKKJLVBELUTLKV-UHFFFAOYSA-N;398.15;5000.0;110.3842077;0.16557631155
28492;j.jct.2005.03.012;methanol;CO;54841-71-3;InChIKey=OKKJLVBELUTLKV-UHFFFAOYSA-N;273.15;7500.0;76.80433842;0.11520650763
28493;j.jct.2005.03.012;methanol;CO;54841-71-3;InChIKey=OKKJLVBELUTLKV-UHFFFAOYSA-N;298.15;7500.0;81.03386394;0.12155079591
28494;j.jct.2005.03.012;methanol;CO;54841-71-3;InChIKey=OKKJLVBELUTLKV-UHFFFAOYSA-N;323.15;7500.0;86.28872898;0.12943309347
28495;j.jct.2005.03.012;methanol;CO;54841-71-3;InChIKey=OKKJLVBELUTLKV-UHFFFAOYSA-N;348.15;7500.0;92.921394;0.139382091
28496;j.jct.2005.03.012;methanol;CO;54841-71-3;InChIKey=OKKJLVBELUTLKV-UHFFFAOYSA-N;373.15;7500.0;100.64348226;0.15096522339
28497;j.jct.2005.03.012;methanol;CO;54841-71-3;InChIKey=OKKJLVBELUTLKV-UHFFFAOYSA-N;398.15;7500.0;109.5831612;0.1643747418
28501;j.jct.2005.03.012;methanol;CO;54841-71-3;InChIKey=OKKJLVBELUTLKV-UHFFFAOYSA-N;273.15;10000.0;76.77229656;0.11515844484
28502;j.jct.2005.03.012;methanol;CO;54841-71-3;InChIKey=OKKJLVBELUTLKV-UHFFFAOYSA-N;298.15;10000.0;80.9056965;0.12135854475
28503;j.jct.2005.03.012;methanol;CO;54841-71-3;InChIKey=OKKJLVBELUTLKV-UHFFFAOYSA-N;323.15;10000.0;86.12851968;0.12919277952
28504;j.jct.2005.03.012;methanol;CO;54841-71-3;InChIKey=OKKJLVBELUTLKV-UHFFFAOYSA-N;348.15;10000.0;92.72914284;0.13909371426
28505;j.jct.2005.03.012;methanol;CO;54841-71-3;InChIKey=OKKJLVBELUTLKV-UHFFFAOYSA-N;373.15;10000.0;100.22693808;0.15034040712
28506;j.jct.2005.03.012;methanol;CO;54841-71-3;InChIKey=OKKJLVBELUTLKV-UHFFFAOYSA-N;398.15;10000.0;108.97436586;0.16346154879
28510;j.jct.2005.03.012;methanol;CO;54841-71-3;InChIKey=OKKJLVBELUTLKV-UHFFFAOYSA-N;273.15;12500.0;76.7402547;0.11511038205
28511;j.jct.2005.03.012;methanol;CO;54841-71-3;InChIKey=OKKJLVBELUTLKV-UHFFFAOYSA-N;298.15;12500.0;80.9056965;0.12135854475
28512;j.jct.2005.03.012;methanol;CO;54841-71-3;InChIKey=OKKJLVBELUTLKV-UHFFFAOYSA-N;323.15;12500.0;86.00035224;0.12900052836
28513;j.jct.2005.03.012;methanol;CO;54841-71-3;InChIKey=OKKJLVBELUTLKV-UHFFFAOYSA-N;348.15;12500.0;92.40872424;0.13861308636
28514;j.jct.2005.03.012;methanol;CO;54841-71-3;InChIKey=OKKJLVBELUTLKV-UHFFFAOYSA-N;373.15;12500.0;99.9706032;0.1499559048
28515;j.jct.2005.03.012;methanol;CO;54841-71-3;InChIKey=OKKJLVBELUTLKV-UHFFFAOYSA-N;398.15;12500.0;108.33352866;0.16250029299
55373;j.jct.2005.10.009;1-decanol;CCCCCCCCCCO;85566-12-7;InChIKey=MWKFXSUHUHTGQN-UHFFFAOYSA-N;290.91;101.0;364.49;0.546735
55374;j.jct.2005.10.009;1-decanol;CCCCCCCCCCO;85566-12-7;InChIKey=MWKFXSUHUHTGQN-UHFFFAOYSA-N;291.15;101.0;364.8;0.5472
55375;j.jct.2005.10.009;1-decanol;CCCCCCCCCCO;85566-12-7;InChIKey=MWKFXSUHUHTGQN-UHFFFAOYSA-N;292.15;101.0;366.05;0.549075
55376;j.jct.2005.10.009;1-decanol;CCCCCCCCCCO;85566-12-7;InChIKey=MWKFXSUHUHTGQN-UHFFFAOYSA-N;293.15;101.0;367.19;0.550785
