;filename;components;SMILES;CAS;InChI;Temperature, K;Pressure, kPa;Relative permittivity at zero frequency;Relative permittivity at zero frequency_std
118521;j.jct.2007.09.004;ethanol, 2-propoxy-;CCCOCCO;83855-85-0;InChIKey=YEYKMVJDLWJFOA-UHFFFAOYSA-N;293.15;101.0;11.76;0.02
118522;j.jct.2007.09.004;ethanol, 2-propoxy-;CCCOCCO;83855-85-0;InChIKey=YEYKMVJDLWJFOA-UHFFFAOYSA-N;298.15;101.0;11.5;0.02
118523;j.jct.2007.09.004;ethanol, 2-propoxy-;CCCOCCO;83855-85-0;InChIKey=YEYKMVJDLWJFOA-UHFFFAOYSA-N;303.15;101.0;11.19;0.02
118527;j.jct.2007.09.004;bis(2-hydroxyethyl) ether;OCCOCCO;111-46-6;InChIKey=MTHSVFCYNBDYFN-UHFFFAOYSA-N;293.15;101.0;31.81;0.02
118528;j.jct.2007.09.004;bis(2-hydroxyethyl) ether;OCCOCCO;111-46-6;InChIKey=MTHSVFCYNBDYFN-UHFFFAOYSA-N;298.15;101.0;30.95;0.02
118529;j.jct.2007.09.004;bis(2-hydroxyethyl) ether;OCCOCCO;111-46-6;InChIKey=MTHSVFCYNBDYFN-UHFFFAOYSA-N;303.15;101.0;30.03;0.02
118533;j.jct.2007.09.004;triethylene glycol;OCCOCCOCCO;118662-30-9;InChIKey=ZIBGPFATKBEMQZ-UHFFFAOYSA-N;293.15;101.0;23.69;0.02
118534;j.jct.2007.09.004;triethylene glycol;OCCOCCOCCO;118662-30-9;InChIKey=ZIBGPFATKBEMQZ-UHFFFAOYSA-N;298.15;101.0;23.07;0.02
118535;j.jct.2007.09.004;triethylene glycol;OCCOCCOCCO;118662-30-9;InChIKey=ZIBGPFATKBEMQZ-UHFFFAOYSA-N;303.15;101.0;22.43;0.02
118539;j.jct.2007.09.004;tetraethylene glycol;OCCOCCOCCOCCO;79688-08-7;InChIKey=UWHCKJMYHZGTIT-UHFFFAOYSA-N;293.15;101.325;20.44;0.02
118540;j.jct.2007.09.004;tetraethylene glycol;OCCOCCOCCOCCO;79688-08-7;InChIKey=UWHCKJMYHZGTIT-UHFFFAOYSA-N;298.15;101.325;19.91;0.02
118541;j.jct.2007.09.004;tetraethylene glycol;OCCOCCOCCOCCO;79688-08-7;InChIKey=UWHCKJMYHZGTIT-UHFFFAOYSA-N;303.15;101.325;19.35;0.02
133409;j.jct.2008.02.015;triglyme;COCCOCCOCCOC;70992-85-7;InChIKey=YFNKIDBQEZZDLK-UHFFFAOYSA-N;288.15;101.325;7.884;0.07884
133410;j.jct.2008.02.015;triglyme;COCCOCCOCCOC;70992-85-7;InChIKey=YFNKIDBQEZZDLK-UHFFFAOYSA-N;298.15;101.325;7.578;0.07578
133411;j.jct.2008.02.015;triglyme;COCCOCCOCCOC;70992-85-7;InChIKey=YFNKIDBQEZZDLK-UHFFFAOYSA-N;308.15;101.325;7.328;0.07328
133412;j.jct.2008.02.015;triglyme;COCCOCCOCCOC;70992-85-7;InChIKey=YFNKIDBQEZZDLK-UHFFFAOYSA-N;318.15;101.325;7.093;0.07093
133413;j.jct.2008.02.015;triglyme;COCCOCCOCCOC;70992-85-7;InChIKey=YFNKIDBQEZZDLK-UHFFFAOYSA-N;328.15;101.325;6.896;0.06896
133419;j.jct.2008.02.015;dimethyl carbonate;COC(=O)OC;616-38-6;InChIKey=IEJIGPNLZYLLBP-UHFFFAOYSA-N;288.15;101.325;3.131;0.03131
133420;j.jct.2008.02.015;dimethyl carbonate;COC(=O)OC;616-38-6;InChIKey=IEJIGPNLZYLLBP-UHFFFAOYSA-N;298.15;101.325;3.134;0.03134
133421;j.jct.2008.02.015;dimethyl carbonate;COC(=O)OC;616-38-6;InChIKey=IEJIGPNLZYLLBP-UHFFFAOYSA-N;308.15;101.325;3.141;0.03141
133422;j.jct.2008.02.015;dimethyl carbonate;COC(=O)OC;616-38-6;InChIKey=IEJIGPNLZYLLBP-UHFFFAOYSA-N;318.15;101.325;3.147;0.03147
133423;j.jct.2008.02.015;dimethyl carbonate;COC(=O)OC;616-38-6;InChIKey=IEJIGPNLZYLLBP-UHFFFAOYSA-N;328.15;101.325;3.149;0.03149
133429;j.jct.2008.02.015;diethyl carbonate;CCOC(=O)OCC;105-58-8;InChIKey=OIFBSDVPJOWBCH-UHFFFAOYSA-N;288.15;101.325;2.841;0.02841
133430;j.jct.2008.02.015;diethyl carbonate;CCOC(=O)OCC;105-58-8;InChIKey=OIFBSDVPJOWBCH-UHFFFAOYSA-N;298.15;101.325;2.834;0.02834
133431;j.jct.2008.02.015;diethyl carbonate;CCOC(=O)OCC;105-58-8;InChIKey=OIFBSDVPJOWBCH-UHFFFAOYSA-N;308.15;101.325;2.836;0.02836
133432;j.jct.2008.02.015;diethyl carbonate;CCOC(=O)OCC;105-58-8;InChIKey=OIFBSDVPJOWBCH-UHFFFAOYSA-N;318.15;101.325;2.837;0.02837
133433;j.jct.2008.02.015;diethyl carbonate;CCOC(=O)OCC;105-58-8;InChIKey=OIFBSDVPJOWBCH-UHFFFAOYSA-N;328.15;101.325;2.839;0.02839
144938;j.jct.2008.09.006;nonane;CCCCCCCCC;111-84-2;InChIKey=BKIMMITUMNQMOS-UHFFFAOYSA-N;288.15;101.325;1.993;0.01993
144939;j.jct.2008.09.006;nonane;CCCCCCCCC;111-84-2;InChIKey=BKIMMITUMNQMOS-UHFFFAOYSA-N;298.15;101.325;1.98;0.0198
144940;j.jct.2008.09.006;nonane;CCCCCCCCC;111-84-2;InChIKey=BKIMMITUMNQMOS-UHFFFAOYSA-N;308.15;101.325;1.966;0.01966
144941;j.jct.2008.09.006;nonane;CCCCCCCCC;111-84-2;InChIKey=BKIMMITUMNQMOS-UHFFFAOYSA-N;318.15;101.325;1.953;0.01953
144942;j.jct.2008.09.006;nonane;CCCCCCCCC;111-84-2;InChIKey=BKIMMITUMNQMOS-UHFFFAOYSA-N;328.15;101.325;1.94;0.0194
144943;j.jct.2008.09.006;nonane;CCCCCCCCC;111-84-2;InChIKey=BKIMMITUMNQMOS-UHFFFAOYSA-N;338.15;101.325;1.927;0.01927
144950;j.jct.2008.09.006;1,2-dimethoxyethane;COCCOC;173201-80-4;InChIKey=XTHFKEDIFFGKHM-UHFFFAOYSA-N;288.15;101.325;7.408;0.07408
144951;j.jct.2008.09.006;1,2-dimethoxyethane;COCCOC;173201-80-4;InChIKey=XTHFKEDIFFGKHM-UHFFFAOYSA-N;298.15;101.325;7.069;0.07069
144952;j.jct.2008.09.006;1,2-dimethoxyethane;COCCOC;173201-80-4;InChIKey=XTHFKEDIFFGKHM-UHFFFAOYSA-N;308.15;101.325;6.757;0.06757
144953;j.jct.2008.09.006;1,2-dimethoxyethane;COCCOC;173201-80-4;InChIKey=XTHFKEDIFFGKHM-UHFFFAOYSA-N;318.15;101.325;6.456;0.06456
144954;j.jct.2008.09.006;1,2-dimethoxyethane;COCCOC;173201-80-4;InChIKey=XTHFKEDIFFGKHM-UHFFFAOYSA-N;328.15;101.325;6.184;0.06184
144955;j.jct.2008.09.006;1,2-dimethoxyethane;COCCOC;173201-80-4;InChIKey=XTHFKEDIFFGKHM-UHFFFAOYSA-N;338.15;101.325;5.922;0.05922
144965;j.jct.2008.09.006;2,5,8-trioxanonane;COCCOCCOC;142939-39-7;InChIKey=SBZXBUIDTXKZTM-UHFFFAOYSA-N;288.15;101.325;7.648;0.07648
144966;j.jct.2008.09.006;2,5,8-trioxanonane;COCCOCCOC;142939-39-7;InChIKey=SBZXBUIDTXKZTM-UHFFFAOYSA-N;298.15;101.325;7.363;0.07363
144967;j.jct.2008.09.006;2,5,8-trioxanonane;COCCOCCOC;142939-39-7;InChIKey=SBZXBUIDTXKZTM-UHFFFAOYSA-N;308.15;101.325;7.116;0.07116
144968;j.jct.2008.09.006;2,5,8-trioxanonane;COCCOCCOC;142939-39-7;InChIKey=SBZXBUIDTXKZTM-UHFFFAOYSA-N;318.15;101.325;6.886;0.06886
144969;j.jct.2008.09.006;2,5,8-trioxanonane;COCCOCCOC;142939-39-7;InChIKey=SBZXBUIDTXKZTM-UHFFFAOYSA-N;328.15;101.325;6.637;0.06637
