;filename;components;SMILES;CAS;InChI;Temperature, K;Pressure, kPa;Speed of sound, m/s;Speed of sound, m/s_std
41438;j.jct.2005.06.011;methylcyclohexane;CC1CCCCC1;108-87-2;InChIKey=UAEPNZWRGJTJPN-UHFFFAOYSA-N;298.15;101.0;1217.0;2.0
41448;j.jct.2005.06.011;1-propanol;CCCO;71-23-8;InChIKey=BDERNNFJNOPAEC-UHFFFAOYSA-N;298.15;101.0;1206.0;2.0
41458;j.jct.2005.06.011;2-propanol;CC(C)O;8013-70-5;InChIKey=KFZMGEQAYNKOFK-UHFFFAOYSA-N;298.15;101.0;1144.0;2.0
41468;j.jct.2005.06.011;1-butanol;CCCCO;107569-51-7;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;298.15;101.0;1268.0;2.0
41478;j.jct.2005.06.011;2-methyl-1-propanol;CC(C)CO;68989-27-5;InChIKey=ZXEKIIBDNHEJCQ-UHFFFAOYSA-N;298.15;101.0;1170.0;2.0
41488;j.jct.2005.06.011;3-methyl-1-butanol;CC(C)CCO;123-51-3;InChIKey=PHTQWCKDNZKARW-UHFFFAOYSA-N;298.15;101.0;1259.0;2.0
41498;j.jct.2005.06.011;ethanol;CCO;121182-78-3;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;298.15;101.0;1161.0;2.0
49271;j.jct.2005.08.002;methylcyclopentane;CC1CCCC1;5310-57-6;InChIKey=GDOPTJXRTPNYNR-UHFFFAOYSA-N;293.15;101.0;1197.0;1.0
49272;j.jct.2005.08.002;methylcyclopentane;CC1CCCC1;5310-57-6;InChIKey=GDOPTJXRTPNYNR-UHFFFAOYSA-N;298.15;101.0;1174.0;1.0
49273;j.jct.2005.08.002;methylcyclopentane;CC1CCCC1;5310-57-6;InChIKey=GDOPTJXRTPNYNR-UHFFFAOYSA-N;303.15;101.0;1150.0;1.0
49280;j.jct.2005.08.002;propanone;CC(C)=O;67-64-1;InChIKey=CSCPPACGZOOCGX-UHFFFAOYSA-N;293.15;101.0;1185.0;1.0
49281;j.jct.2005.08.002;propanone;CC(C)=O;67-64-1;InChIKey=CSCPPACGZOOCGX-UHFFFAOYSA-N;298.15;101.0;1162.0;1.0
49282;j.jct.2005.08.002;propanone;CC(C)=O;67-64-1;InChIKey=CSCPPACGZOOCGX-UHFFFAOYSA-N;303.15;101.0;1140.0;1.0
