;filename;Mass density, kg/m3
0;acs.jced.5b00009;['2,2,4-trimethylpentane' 'heptane' 'octane' 'benzene']
1;acs.jced.5b00031;['1-butoxy-2-propanol' '1-hexanol' '1-octanol' '1-decanol']
2;acs.jced.5b00064;['ethanol' '1,2-propanediol']
3;acs.jced.5b00122;"['methanol' 'ethanol' '1-propanol' '2-propanol' '2-methoxyethanol'
 'ethanol, 2-propoxy-']"
4;acs.jced.5b00181;['1-propanol']
5;acs.jced.5b00256;['1-propanol']
6;acs.jced.5b00301;['ethanol']
7;acs.jced.5b00317;['water']
8;acs.jced.5b00326;['water']
9;acs.jced.5b00331;['cyclohexane' 'hexadecane']
10;acs.jced.5b00451;['water']
11;acs.jced.5b00527;['isopropyl ether' 'methanol' '1-butanol' 'water']
12;acs.jced.5b00537;['2-methyl-2-butanol' '2-methyl-1-propanol']
13;acs.jced.5b00582;['2-methoxyethanol' '1,2-dimethoxyethane']
14;acs.jced.5b00662;"['1,2-ethanediol' 'bis(2-hydroxyethyl) ether' 'triethylene glycol'
 'tetraethylene glycol' 'ethanol, 2-ethoxy-' ""1,1'-oxybis[2-ethoxyethane]""]"
15;acs.jced.5b00724;['water']
16;acs.jced.5b00789;['methylcyclohexane']
17;acs.jced.5b00838;"['dibutyl ether' 'butyl isobutyl ether' 'ethyl hexyl ether'
 'pentyl propyl ether']"
18;j.fluid.2006.01.017;['ethanol']
19;j.fluid.2006.02.023;"['1,3-dioxolane' 'water' 'methanol' 'ethanol' '1-propanol' '2-propanol'
 '1-butanol' '2-methyl-2-propanol' '3-methyl-1-butanol']"
20;j.fluid.2006.04.010;['1-propanol' '1-butanol' '1-pentanol' '1-hexanol']
21;j.fluid.2006.05.032;['1-propanol' 'toluene']
22;j.fluid.2006.06.017;['1-propanol' '1-butanol' 'dipropyl ether' 'dibutyl ether']
23;j.fluid.2006.07.003;['dipropyl ether' '1-propanol' '1-pentanol']
24;j.fluid.2006.07.011;['isopropylbenzene']
25;j.fluid.2006.07.016;['1-propanol']
26;j.fluid.2006.11.005;['ethanol' 'benzene']
27;j.fluid.2006.12.011;['trans-decalin']
